MANDT,KUNNR,LAND1,NAME1,NAME2,ORT01,PSTLZ,REGIO,SORTL,STRAS,TELF1,TELFX,XCPDK,ADRNR,MCOD1,MCOD2,MCOD3,ANRED,AUFSD,BAHNE,BAHNS,BBBNR,BBSNR,BEGRU,BRSCH,BUBKZ,DATLT,ERDAT,ERNAM,EXABL,FAKSD,FISKN,KNAZK,KNRZA,KONZS,KTOKD,KUKLA,LIFNR,LIFSD,LOCCO,LOEVM,NAME3,NAME4,NIELS,ORT02,RPMKR,SPERR,SPRAS,STCD1,STCD2,STKZA,LZONE,XZEMP,VBUND,UMSAT,UMJAH,UWAER,STKZN,PFORT,WERKS,SPERZ,KDKG1,XKNZA,CONFS,UPDAT,UPTIM,NODEL,TS_ERDAT,TS_UPDAT,TS_UPTIM
"M1","K10093","Brasilien 3","Hooper's Store 13426",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10094","Brasilien 3","Media in The Simpsons 11877",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10099","Brasilien 3","Daggett Industries 22769",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10100","Brasilien 3","Daedalus Research 18100",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10108","Brasilien 3","Monsters 8558",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10109","Brasilien 3","ManBeef.com 5863",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10119","Brasilien 3","Crosstime Traffic 7402",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10122","Brasilien 3","GameCenter CX 1306",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10124","Brasilien 3","ARCAM Corporation 9036",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10127","Brasilien 3","Shadrack & Duxbury 24624",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1013","Brasilien 3","Massive Dynamic 6566",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10130","Brasilien 3","Bonsai Kitten 519",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10133","Brasilien 3","Cross Technological Enterprises 10389",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10135","Brasilien 3","Fantastic Four Incorporated 4945",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10136","Brasilien 3","Yoyodyne 1537",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1014","Brasilien 3","Daedalus Research 2138",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10145","Brasilien 3","Stagg Enterprises 8426",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10156","Brasilien 3","Red Bedroom Records 13873",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10157","Brasilien 3","Dr. Zeus Inc. 15942",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1016","Brasilien 3","Mammoth Studios 16890",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10161","Brasilien 3","GameCenter CX 22500",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10167","Brasilien 3","Buy More 24758",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10170","Brasilien 3","The World Gone Mad 5860",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1018","Brasilien 3","Yoyodyne 2085",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1019","Brasilien 3","GothCorp 12189",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10192","Brasilien 3","GothCorp 22631",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10195","Deutschland 10","ManBeef.com 16739",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10197","Brasilien 3","Struan's 1160",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10198","Brasilien 3","Cross Technological Enterprises 4643",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10204","Brasilien 3","Queen Industries 8000",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10207","Brasilien 3","Stagg Enterprises 18125",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10209","Brasilien 3","Struan's 18116",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10210","Brasilien 3","Bonk Business 12023",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10212","Brasilien 3","BuyTigers.com 3244",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10213","Brasilien 3","Seburo 12805",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10215","Brasilien 3","Sloane Curtis Advertising 10113",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10217","Brasilien 3","Red Bedroom Records 21903",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10219","Brasilien 3","Ace Chemicals 17611",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1022","Brasilien 3","Fantastic Four Incorporated 9230",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10221","Brasilien 3","Media in The Simpsons 8424",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10228","Brasilien 3","LexCorp 17520",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10229","Brasilien 3","Massive Dynamic 16989",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10230","Brasilien 3","Stark Industries 8390",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10233","Brasilien 3","Tyrell Corporation 21485",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10237","Brasilien 3","Soder Cola 20446",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10240","Brasilien 3","Ace o' Clubs 16714",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10241","Brasilien 3","Daggett Industries 20404",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10247","Brasilien 3","Fantastic Four Incorporated 13388",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10249","Brasilien 3","ManBeef.com 6190",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10250","Brasilien 3","Daedalus Research 23873",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10265","Brasilien 3","Iceberg Lounge 24200",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1027","Brasilien 3","Brand Corporation 24919",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10274","Brasilien 3","Megacorporation 13633",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10275","Brasilien 3","Sloane Curtis Advertising 15856",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10277","Brasilien 3","Wayne Enterprises 4977",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10278","Brasilien 3","The Monster Maker 11426",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10288","Brasilien 3","Bonsai Kitten 16360",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10292","Brasilien 3","Fantastic Four Incorporated 5370",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10295","Brasilien 3","Santini Air 14407",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10299","Brasilien 3","ManBeef.com 1665",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1030","Brasilien 3","Vaillante 2105",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10300","Brasilien 3","McMahon and Tate 22904",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10302","Brasilien 3","Queen Industries 11044",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10310","Brasilien 3","Queen Industries 11044",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10311","Brasilien 3","Soder Cola 20565",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10318","Brasilien 3","Shadrack & Duxbury 15845",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1032","Brasilien 3","Mammoth Studios 13277",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10324","Brasilien 3","Queen Industries 11044",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10325","Brasilien 3","Queen Industries 11044",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10329","Brasilien 3","Power Broker 13349",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1033","Brasilien 3","Haly's Circus 3620",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10331","Brasilien 3","Queen Industries 11044",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10333","Brasilien 3","Queen Industries 11044",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10334","Brasilien 3","Dunder Mifflin 1477",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10336","Brasilien 3","Haspel Corporation 19136",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10339","Brasilien 3","World Company 8033",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K1034","Brasilien 3","Wallenquist Organization 5410",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M1","K10341","Brasilien 3","McMahon and Tate 22506",,,,,,,,,,,,,,,,,,,,,,,,2004-09-04T20:00:00,"Richard Elsesser 601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
